->apsoros|absoros
GG|
GJ|conlabello|conlabello|āre|- tr. - donner avec les lèvres (un baiser).
Ge|
FG|
Lw|
YO|
PO|
WW|||conlabello, conlabellavi|conlabello, conlabellatum
->collaceratus|conlaceratus
LS|conlaceratus|conlăcĕrātus|a, um|||torn to pieces, lacerated|collaceratus|(
GG|
GJ|
Ge|
FG|
Lw|conlaceratus|con-laceratus (coll-)|||adj.|torn to pieces:||||conlaceratus
YO|
PO|
WW||||
->collacrimatio|conlacrimatio
LS|conlacrimatio|conlā̆crĭmātĭo|ōnis|f.||a weeping together, very much, a lamenting|collacrimatio|(
GG|conlacrimatio|conlăcrĭmātĭo|ōnis|f.|subst.|action de fondre en larmes|collacrimatio|conl-
GJ|conlacrimatio|conlacrimātĭo|ōnis, f.|action de fondre en larmes.
Ge|
FG|
Lw|conlacrimatio|conlacrimātiō (coll-)|ōnis|f||a sympathetic weeping||||conlacrimatio
YO|
PO|
WW||||
->collactaneus|conlactaneus
LS|conlactaneus|conlactānĕus|a|||a brother, sister nourished at the same breast, a foster-brother, sister, masc., fem.|collactaneus|(
GG|
GJ|conlactaneus|conlactaneus|i, m.|frère de lait.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collactea|conlactea
LS|
GG|
GJ|conlactea|conlactea|ae, f.|soeur de lait.
Ge|
FG|
Lw|conlactea|con - lactea (coll-, -tia)|ae|f||a foster-sister||||conlactea
YO|
PO|
WW||||
->collacteus|conlacteus
LS|conlacteus|conlactĕus|a|||a foster-brother, foster-sister; masc., fem.|collacteus|(
GG|
GJ|conlacteus|conlacteus|i, m.|frère de lait.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collaetor|conlaetor
LS|conlaetor|conlaetor|āri||v. dep.|to rejoice together|collaetor|(
GG|
GJ|conlaetor|conlaetor|āri|se réjouir ensemble, se réjouir avec.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collapsio|conlapsio
LS|conlapsio|conlapsĭo|ōnis|f.||a falling together, precipitation|collapsio|(
GG|
GJ|conlapsio|conlapsio|ōnis, f.|chute simultanée, chute.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|conlapsus
LS|conlapsus|conlapsus|a, um||||collapsus|(
GG|
GJ|conlapsus|conlapsus|a, um|part. passé de collabor. - 1 - tombé, écroulé, affaissé. - 2 - qui ne se soutient plus, tombé en défaillance.
Ge|
FG|
Lw|conlapsus|conlapsus||||P. of conlabor.||||conlapsus
YO|
PO|
WW||||
->collatero|conlatero
LS|conlatero|conlătĕro|āre||v. a.|to admit on both sides|collatero|(
GG|
GJ|conlatero|conlatero|āre|- tr. - avoir de chaque côté, admettre de chaque côté.
Ge|
FG|
Lw|
YO|
PO|
WW|||conlatero, conlateravi|conlatero, conlateratum
->collaticius|conlaticius
LS|conlaticius|conlātĭcĭus|a, um||adj.|brought together, raised by contribution, mingled|collaticius|(
GG|
GJ|conlaticius|conlatīcius|a, um|- 1 - mélangé, formé d'un mélange. - 2 - fourni par plusieurs personnes, d'emprunt.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collativus|conlativus
LS|conlativus|conlātīvus|a, um||adj.|brought, carried together, collected, combined|collativus|(
GG|
GJ|conlativus|conlativus|a, um|- 1 - payé par contribution, mis en commun, offert en commun. - 2 - qui reçoit les contributions.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collatro|conlatro
LS|conlatro|conlātro|āre||v. a.|to bark, yelp fiercely at;|collatro|(
GG|
GJ|conlatro|conlatro|āre|- tr. - aboyer, crier (contre qqn, aliquem).
Ge|
FG|
Lw|
YO|
PO|
WW|||conlatro, conlatravi|conlatro, conlatratum
->collaudabilis|conlaudabilis
LS|conlaudabilis|conlaudābĭlis|e||adj.|worthy of praise in every respect|collaudabilis|(
GG|
GJ|conlaudabilis|conlaudabilis|e|digne d'éloges.
Ge|
FG|
Lw|
YO|
PO|
WW||conlaudabilis, conlaudabilis||
->collaudatio|conlaudatio
LS|conlaudatio|conlaudātĭo|ōnis|f.||warm praise|collaudatio|(
GG|conlaudatio|conlaudātĭo|ōnis|f.|subst.|action de faire l'éloge, panégyrique / louange|collaudatio|conl-
GJ|conlaudatio|conlaudātĭo|ōnis, f.|action de faire l'éloge, panégyrique, louange.
Ge|
FG|
Lw|conlaudatio|conlaudātiō (coll-)|ōnis|f||warm praise, eulogy||||conlaudatio
YO|
PO|
WW||||
->collaudator|conlaudator
LS|conlaudator|conlaudātor|ōris|m.||one who praises warmly|collaudator|(
GG|
GJ|conlaudator|conlaudator|oris, m.|Aug. panégyriste.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collaxo|conlaxo
LS|conlaxo|conlaxo|āre||v. a.|to make loose, porous|collaxo|(
GG|conlaxo|conlaxo|āre||tr.|tr., dilater|collaxo|conl-
GJ|conlaxo|conlaxo|āre (= rarefacio)|- tr. - dilater, relâcher.
Ge|
FG|
Lw|
YO|
PO|
WW|||conlaxo, conlaxavi|conlaxo, conlaxatum
->collecta|conlecta
LS|conlecta|conlecta|ae|f.|adj.|A contribution in money|collecta|(
GG|conlecta|conlecta|ae|f.|subst.|écot, quote-part / quête / assemblée, réunion|collecta|conl-
GJ|conlecta|conlecta|ae, f. (s.-ent. pecunia)|- 1 - collecte, quote-part, écot, contribution, quête. - 2 - réunion, assemblée.
Ge|
FG|
Lw|conlecta|conlēcta (coll-)|ae|f||a contribution, collection||||conlecta
YO|
PO|
WW||||
->collectaculum|conlectaculum
LS|conlectaculum|conlectācŭlum|i|n.||a place of assembling, a receptacle, reservoir|collectaculum|(
GG|
GJ|conlectaculum|conlectaculum|i, n.|récipient, réservoir.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collectaneus|conlectaneus
LS|conlectaneus|conlectānĕus|a, um||adj.|gathered, collected together, collectaneous, subst.|collectaneus|(
GG|
GJ|conlectaneus|conlectaneus|a, um|recueilli de côté et d'autre.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collectarius|conlectarius
LS|conlectarius|conlectārĭus|ii|m.||a money-changer, banker, cashier|collectarius|(
GG|
GJ|conlectarius|conlectarius|ii, m.|caissier, changeur, courtier de banque.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collecte|conlecte
LS|conlecte|conlectē|||adv.||collecte|(
GG|
GJ|conlecte|conlectē|adv.|brièvement, en gros.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collecticius|conlecticius
LS|conlecticius|conlectĭcĭus|a, um||adj.|collected, gathered together, gathered hastily without selection|collecticius|(
GG|conlecticius|conlectīcĭus|a, um||adj.|ramassé çà et là (sans choix)|collecticius|conl-
GJ|conlecticius|conlectīcius|a, um|ramassé çà et là.
Ge|
FG|
Lw|conlecticius|conlēctīcius (coll-; not -titius)|um||adj.|gathered in haste, huddled together||||conlecticius
YO|
PO|
WW||||
->collectim|conlectim
LS|conlectim|conlectim|||adv.|summarily, briefly|collectim|(
GG|
GJ|conlectim|conlectim|adv.|brièvement.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collectivus|conlectivus
LS|conlectivus|conlectīvus|a, um||adj.|Collected, gathered together|collectivus|(
GG|
GJ|conlectivus|conlectivus|a, um|- 1 - recueilli, ramassé. - 2 - collectif (t. de gram.). - 3 - relatif à la conclusion.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collector|conlector
LS|conlector|conlector|ōris|m.||a fellow-student|collector|(
GG|
GJ|conlector|conlector|oris, m.|condisciple.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collegatarius|conlegatarius
LS|conlegatarius|conlēgātārĭus|i|m.||a person to whom is bequeathed a legacy in common with others, a collegatary, joint-legatee|collegatarius|(
GG|
GJ|conlegatarius|conlegatarius|i, m.|colégataire.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collegialis|conlegialis
LS|conlegialis|conlēgĭālis|e||adj.|collegial|collegialis|(
GG|
GJ|conlegialis|conlegialis|e|de collège, d'association.
Ge|
FG|
Lw|
YO|
PO|
WW||conlegialis, conlegialis||
->collegiarius|conlegiarius
LS|conlegiarius|conlēgĭārĭus|a, um||adj.|collegial|collegiarius|(
GG|
GJ|conlegiarius|conlegiarius|a, um|de collège, d'association.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collegiatus|conlegiatus
LS|conlegiatus|conlēgĭātus|i|m.||he who is with one in a society, college, corporation|collegiatus|(
GG|
GJ|conlegiatus|conlegiatus|i, m.|membre d'une coporation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colleprosus|conleprosus
LS|conleprosus|conleprōsus|i|m.||a fellow-leper|colleprosus|(
GG|
GJ|conleprosus|conleprosus|i, m.|compagnon de lépreux.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colliberta|conliberta
LS|conliberta|conlīberta|ae|f.||a fellowfreedwoman|colliberta|(
GG|
GJ|conliberta|conlīberta|ae, f.|affranchie d'un même maître.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collibertus|conlibertus
LS|conlibertus|conlībertus|i|m.||a fellowfreedman|collibertus|(
GG|conlibertus|conlībertus|i|m.|subst.|affranchi d'un même maître, compagnon d'affranchissement|collibertus|conl-
GJ|conlibertus|conlībertus|i, m.|affranchi d'un même maître, compagnon d'affranchissement.
Ge|
FG|
Lw|conlibertus|con-lībertus (coll-)|ī|m||a fellow-freedman.||||conlibertus
YO|
PO|
WW||||
->collibet|conlibet
LS|conlibet|conlĭbet|buit or bītum est, 2||v. impers.|it pleases, it is agreeable, act., pass.|collibet|(
GG|conlibet|conlĭbet|ŭit et ĭtum est, ēre|||imp., il plaît, il vient à l'esprit|collibet|conl-
GJ|
Ge|
FG|
Lw|conlibet|(con-libet, conlubet, or collibet)|buit or bitum est, ēre|||it pleases, is agreeable||||conlibet
YO|
PO|
WW||||
->collibro|conlibro
LS|conlibro|conlībro|āre||v. a.|to measure off|collibro|(
GG|conlibro|conlībro|āre||tr.|tr., peser|collibro|conl-
GJ|conlibro|conlībro|āre|- tr. - Cato. peser.
Ge|
FG|
Lw|
YO|
PO|
WW|||conlibro, conlibravi|conlibro, conlibratum
->colliciae|conliciae
LS|conliciae|conlĭciae|ārum|f.||channels, drains, gutters for conducting water in the fields, upon the roofs of buildings|colliciae|or 
GG|
GJ|conliciae|conlĭcĭae|ārum, f. [cum + liquere]|- 1 - Vitr. rigoles ou conduits. - 2 - Plin. tuiles faisant rigoles pour l'écoulement des eaux.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collicio|conlicio
LS|
GG|conlicio|conlĭcĭo|ĕre||tr.|tr., entraîner (amener) à|collicio|conl-
GJ|
Ge|
FG|
Lw|conlicio|conliciō (coll-)|&mdash;, &mdash;, ere|||to mislead, beguile||||conlicio
YO|
PO|
WW||||
->colligatio|conligatio
LS|conligatio|conlĭgātĭo|ōnis|f.||a binding together, connection|colligatio|(
GG|conligatio|conlĭgātĭo|ōnis|f.|subst.|liaison / jointure / [fig.] lien|colligatio|conl-
GJ|conligatio|conlĭgātĭo|ōnis, f.|liaison, lien, enchaînement.
Ge|
FG|
Lw|conligatio|conligātiō (coll-)|ōnis|f||a connection.&mdash;Plur, a bond, union||||conligatio
YO|
PO|
WW||||
->collimitaneus|conlimitaneus
LS|conlimitaneus|conlīmĭtānĕus|a, um||adj.|bordering upon;, dat.|collimitaneus|(
GG|
GJ|conlimitaneus|conlimitaneus|a, um|Aug. limitrophe.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collimitium|conlimitium
LS|conlimitium|conlīmĭtĭum|ii|n.||the boundary between two countries|collimitium|(
GG|
GJ|conlimitium|conlimitium|ii, n.|frontière.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collineo|conlineo
LS|conlineo|conlīnĕo|āvi, ātum, āre||v. a.|to direct something in a straight line, to aim|collineo|(
GG|conlineo|conlīnĕo|āvi, ātum, āre||tr. intr.|tr., diriger en visant / int., trouver la direction juste|collineo|conl-
GJ|conlineo|conlinĕo|āre|- 1 - tr. - diriger en visant, viser. - 2 - intr. - viser juste, atteindre le but, tirer droit.
Ge|
FG|
Lw|conlineo|con-līneō (coll-)|āvī, ātus, āre|||to direct straight, aim aright:||||conlineo
YO|
PO|
WW|||conlineo, conlineavi|conlineo, conlineatum
->collino|conlino
LS|conlino|conlĭno|lēvi, lĭtum, 3||v. a.|to besmear, to cover over, defile, pollute|collino|(
GG|
GJ|conlino|conlino|ĕre, lēvi, litum|- tr. - 1 - enduire, oindre, frotter. - 2 - gâter, souiller, corrompre.
Ge|
FG|
Lw|conlino|con-linō (coll-)|&mdash;, &mdash;, ere|||to besmear, defile, pollute:||||conlino
YO|
PO|
WW|||conlino, conlevi|conlino, conlitum
->colliquefactus|conliquefactus
LS|conliquefactus|conlĭquĕfactus|a, um|||made fluid, liquefied, dissolved, melted|colliquefactus|(
GG|conliquefactus|conlĭquĕfactus|a, um||adj.|fondu / dissous|colliquefactus|conl-
GJ|conliquefactus|conliquefactus|a, um|liquéfié, fondu, dissous.
Ge|
FG|
Lw|conliquefactus|conliquefactus (coll-)||||dissolved, melted||||conliquefactus
YO|
PO|
WW||||
->colliquesco|conliquesco
LS|conliquesco|conlĭquesco|lĭqui, ĕre||v. inch. n.|to become fluid, to liquefy, melt, dissolve|colliquesco|(
GG|
GJ|conliquesco|conliquesco|ĕre, liqui|- 1 - intr. - se liquéfier, se dissoudre, se résoudre. - 2 - impers. il est clair, il est évident.
Ge|
FG|
Lw|
YO|
PO|
WW|||conliquesco, conliqui|
-|conlitus
LS|conlitus|conlĭtus|a, um||||collitus|(
GG|
GJ|conlitus|conlitus|a, um|part. passé de collino. - 1 - enduit, frotté. - 2 - souillé, sali.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collocupleto|conlocupleto
LS|conlocupleto|conlŏcŭplēto|āvi, 1||v. a.|to make very rich, to enrich|collocupleto|(
GG|conlocupleto|conlŏcŭplēto|āvi, āre||tr.|tr., enrichir|collocupleto|conl-
GJ|conlocupleto|conlocupleto|āre, āvi|- tr. - 1 - enrichir, avantager. - 2 - embellir, rehausser, relever, orner.
Ge|
FG|
Lw|conlocupleto|con-locuplētō (coll-)|āvī, &mdash;, āre|||to make very rich, enrich:||||conlocupleto
YO|
PO|
WW|||conlocupleto, conlocupletavi|conlocupleto, conlocupletatum
->collocutio|conlocutio
LS|conlocutio|conlŏcūtĭo|ōnis|f.||a, familiar, private, conversation, conference|collocutio|(
GG|conlocutio|conlŏcūtio|ōnis|f.|subst.|entretien|collocutio|conl-
GJ|conlocutio|conlocutio|ōnis, f.|colloque, entretien.
Ge|
FG|
Lw|conlocutio|conlocūtiō (coll-)|ōnis|f||a conversation, conference, talk||||conlocutio
YO|
PO|
WW||||
->collocutor|conlocutor
LS|conlocutor|conlŏcūtor|ōris|m.||he who talks with another|collocutor|(
GG|
GJ|conlocutor|conlocutor|oris, m.|interlocuteur, contradicteur.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colluco|conluco
LS|conluco|conlūco|āre||v. a.|to make light, to clear, thin a forest|colluco|(
GG|conluco|conlūco|āre||tr.|tr., couper, éclaircir un bois / tailler, émonder|colluco|conl-
GJ|conluco|conluco|āre|- tr. - 1 - couper, élaguer, éclaircir. - 2 - tailler.
Ge|
FG|
Lw|
YO|
PO|
WW|||conluco, conlucavi|conluco, conlucatum
->colluctator|conluctator
LS|conluctator|conluctātor|ōris|m.||a wrestler;, an anlagonist, adversary|colluctator|(
GG|
GJ|conluctator|conluctator|oris, m.|antagoniste.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colludium|conludium
LS|conludium|conlūdĭum|ii|n.||A sporting, playing together|colludium|(
GG|
GJ|conludium|conludium|ii, n.|- 1 - jeu, divertissement commun. - 2 - collusion, entente, connivence.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colludo|conludo
LS|conludo|conlūdo|si, sum, 3||v. n.|to play, sport together, play with|colludo|(
GG|conludo|conlūdo|lūsi, lūsum, lūdĕre||intr.|jouer avec, jouer ensemble / colluder, s'entendre frauduleusement avec|colludo|conl-
GJ|conludo|conludo|ĕre, lūsi, lūsum|- intr. - 1 - jouer avec, jouer ensemble. - 2 - être de connivence, s'entendre frauduleusement, être d'intelligence.
Ge|
FG|
Lw|conludo|con-lūdō (coll-)|sī, &mdash;, ere|||to play together, sport with:||||conludo
YO|
PO|
WW|||conludo, conlusi|conludo, conlusum
->collugeo|conlugeo
LS|conlugeo|conlūgĕo|ēre||v. n.|to lament, grieve together|collugeo|(
GG|
GJ|conlugeo|conlugeo|ēre|- intr. - pleurer ensemble.
Ge|
FG|
Lw|
YO|
PO|
WW|||conlugeo, conluxi|
->collumino|conlumino
LS|conlumino|conlūmĭno|āre||v. a.|to illuminate on all sides|collumino|(
GG|
GJ|conlumino|conlumino|āre|- tr. - éclairer, illuminer.
Ge|
FG|
Lw|
YO|
PO|
WW|||conlumino, conluminavi|conlumino, conluminatum
->colluo|conluo
LS|conluo|conlŭo|lŭi, lūtum, 3||v. a.|to wash thoroughly, wash out, rinse, aliquid, aliquid aliquā re;, aliquid de aliquā re, to moisten, wet, to quench thirst|colluo|(
GG|conluo|conlŭo|ŭi, ūtum, ĕre|||laver, nettoyer à fond / [fig.] humecter, rafraîchir / couler autour, arroser|colluo|conl-
GJ|conluo|conluo|ĕre, lŭi, lutum|- tr. - 1 - laver complètement, laver, rincer, nettoyer, humecter, gargariser. - 2 - couler autour, arroser, baigner (en parl. d'un fleuve).
Ge|
FG|
Lw|conluo|con-luō|luī, &mdash;, ere|||to moisten, wet:||||conluo
YO|
PO|
WW|||conluo, conlui|conluo, conlutum
->collurchinatio|conlurchinatio
LS|conlurchinatio|conlurchĭnātĭo|ōnis|f.||gross gluttony, gormandizing|collurchinatio|(
GG|
GJ|conlurchinatio|conlurchinātĭo|onis, f.|excès de table, orgie.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collusio|conlusio
LS|conlusio|conlūsĭo|ōnis|f.||a secret, deceptive understanding, collusion|collusio|(
GG|conlusio|conlūsio|ōnis|f.|subst.|collusion, entente frauduleuse|collusio|conl-
GJ|conlusio|conlusio|ōnis, f.|collusion, connivence.
Ge|
FG|
Lw|conlusio|conlūsiō (coll-)|ōnis|f||a secret understanding, collusion||||conlusio
YO|
PO|
WW||||
->collusor|conlusor
LS|conlusor|conlūsor|ōris|m.||A companion in play, playmate|collusor|(
GG|conlusor|conlūsŏr|ōris|m.|subst.|compagnon de jeu / coupable de collusion|collusor|conl-
GJ|conlusor|conlusor|oris, m.|- 1 - compagnon de jeu. - 2 - coupable de collusion.
Ge|
FG|
Lw|conlusor|conlūsor (coll-)|ōris|m||a fellow gambler, A playmate||||conlusor
YO|
PO|
WW||||
->collusorie|conlusorie
LS|conlusorie|conlūsōrĭē|||adv.|in a concerted manner, collusively|collusorie|(
GG|
GJ|conlusorie|conlusoriē|adv.|par connivence, en usant de collusion.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->collutio|conlutio
LS|conlutio|conlūtĭo|ōnis|f.||a rinsing, washing|collutio|(
GG|
GJ|conlutio|conlutio|ōnis, f.|action de laver, lotion.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|conlutus
LS|conlutus|conlūtus|||||collutus|(
GG|
GJ|conlutus|conlutus|a, um|part. passé de colluo; lavé, rincé, humecté.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->colluvio|conluvio
LS|conluvio|conlŭvĭo|ōnis||||colluvio|(
GG|conluvio|conlŭvĭo|ōnis|f.|subst.|mélange impur, confusion, trouble, chaos / souillure|colluvio|conl-
GJ|conluvio|conluvio|ōnis, f.|- 1 - mélange impur, immondices. - 2 - confusion, mélange, chaos, ramassis, bourbier.
Ge|
FG|
Lw|conluvio|conluviō (coll-)|ōnis|f||washings, sweepings, dregs, impurities, offscourings, a vile mixture||||conluvio
YO|
PO|
WW||||
->commemoramentum|conmemoramentum
LS|conmemoramentum|conmĕmŏrāmentum|i|n.||a reminding, mentioning|commemoramentum|(
GG|
GJ|conmemoramentum|conmemoramentum|i, n.|mention, souvenir.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->commitigo|conmitigo
LS|conmitigo|conmītĭgo|āre||v. a.|to make soft, mellow|commitigo|(
GG|
GJ|conmitigo|conmitigo|āre|- tr. - amollir.
Ge|
FG|
Lw|
YO|
PO|
WW|||conmitigo, conmitigavi|conmitigo, conmitigatum
->commolenda|conmolenda
LS|Conmolenda|Conmŏlenda|ae|f.||a goddess who presided over the felling of trees struck by lightning|Commolenda|(
GG|Conmolenda|Conmŏlenda||||c. Coinquenda.|Commolenda|Conmŏlenda
GJ|Conmolenda|Conmolenda|ae, f.|c. Coinquenda.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->commolior|conmolior
LS|conmolior|conmōlĭor|ītus, 4||v. dep.|to set in motion, has undertaken|commolior|(
GG|
GJ|conmolior|conmolior|iri, itus sum|- 1 - mettre en mouvement, faire agir. - 2 - inventer, imaginer.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->commonefacio|conmonefacio
LS|conmonefacio|conmŏnĕfăcĭo|fēci, factum, 3||v. a.|to remind one forcibly, to put in mind, to admonish, to impress upon, a rel.clause, ut, inf., aliquem alicujus rei, pass., aliquem de aliquā re, rel.-clause, acc. rei|commonefacio|(
GG|
GJ|conmonefacio|conmonefăcĭo|ĕre, fēci, factum|- tr. - avertir, faire songer, faire souvenir, rappeler.
Ge|
FG|
Lw|
YO|
PO|
WW|||conmonefacio, conmonefeci|conmonefacio, conmonefactum
->commonstro|conmonstro
LS|conmonstro|conmonstro|āvi, ātum, 1||v. a.|to show, point out something fully, distinctly, rel.|commonstro|(
GG|
GJ|conmonstro|conmonstro|āre, āvi, ātum|- tr. - montrer, indiquer.
Ge|
FG|
Lw|
YO|
PO|
WW|||conmonstro, conmonstravi|conmonstro, conmonstratum
->commorior|conmorior
LS|conmorior|conmŏrĭor|mortuus, 3||v. dep. n.|to die with, at the same time with one, cum, absol.|commorior|(
GG|
GJ|conmorior|conmorior|mori, mortuus sum|(Lebaigue P. 242) mourir en même temps.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->compaciscor|conpaciscor
LS|conpaciscor|conpăciscor|pactus or pectus, 3||v. dep.|to make an agreement, form a compact with one, temp. perf., partic.|compaciscor|(
GG|
GJ|conpaciscor|conpaciscor|pacisci, pactus (pectus) sum|conclure un accord.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->comperior|conperior
LS|conperior|conpĕrĭor|īri, pertus sum, 4||v. dep.|to ascertain, learn, obtain certain knowledge that, inf., perf.|comperior|(
GG|
GJ|conperior|conpĕrĭor|īrī, pertus sum, arch. (c. comperio)|- dép. - s'apercevoir, reconnaître.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->complexio|conplexio
LS|conplexio|conplexĭo|ōnis|f.||a combination, connection.|complexio|(
GG|
GJ|conplexio|conplexio|ōnis, f.|- 1 - assemblage, jonction, union, liaison. - 2 - conclusion (d'un raisonnement), résumé, sommaire. - 3 - complexion (t. de rhét.). - 4 - contraction (t. de gram.). - 5 - complexion, tempérament.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->comportatio|conportatio
LS|conportatio|conportātĭo|ōnis|f.||a bringing, carrying together|comportatio|(
GG|
GJ|conportatio|conportātĭo|ōnis, f. [comporto]|moyen de transport.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->comprecor|conprecor
LS|conprecor|conprĕcor|ātus, āri||v. dep.|to pray to, supplicate, implore, alicui, aliquem, aliquid, absol., Absol., to pray, supplicate, pers., to imprecate, wish, absol.|comprecor|(
GG|
GJ|conprecor|conprecor|āri, ātus sum|- tr. et intr. - prier instamment, supplier, invoquer, faire des prières publiques.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->compressor|conpressor
LS|conpressor|conpressor|ōris|m.||one who compresses|compressor|(
GG|
GJ|conpressor|conpressor|oris, m.|celui qui abuse d'une femme, violeur.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->corrado|conrado
LS|conrado|conrādo|si, sum, 3||v. a.|to scrape, rake together|corrado|(
GG|
GJ|conrado|conrado|ĕre, rasi, rasum|- tr. - 1 - enlever en raclant, racler, ratisser, détacher, arracher, enlever. - 2 - rassembler une somme d'argent, rafler, subtiliser, faire main basse sur.
Ge|
FG|
Lw|
YO|
PO|
WW|||conrado, conrasi|conrado, conrasum
-|conrasus
LS|conrasus|conrāsus|a, um||||corrasus|(
GG|
GJ|conrasus|conrasus|a, um|part. passé de corrado.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->corrationalitas|conrationalitas
LS|conrationalitas|conrătĭōnālĭtas|ātis|f.||analogy|corrationalitas|(
GG|
GJ|conrationalitas|conrationalitas|atis, f.|rapport, analogie.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->correctio|conrectio
LS|conrectio|conrectĭo|ōnis|f.||an amendment, improvement, correction.|correctio|(
GG|
GJ|conrectio|conrectio|ōnis, f.|- 1 - action de corriger, action de redresser, réforme, amélioration, amendement. - 2 - correction, réprimande. - 3 - correction (fig. de rhét. qui consiste à rétracter ce qu'on a dit pour dire quelque chose de plus fort).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->corrideo|conrideo
LS|conrideo|conrīdĕo|ēre||v. n.|to laugh together, aloud|corrideo|(
GG|conrideo|conrīdĕo|ēre||intr.|int., rire ensemble|corrideo|conr-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||conrideo, conrisi|conrideo, conrisum
->corrudis|conrudis
LS|
GG|conrudis|conrŭdis|e||adj.|entièrement brut|corrudis|conrŭdis
GJ|conrudis|conrŭdis|e|entièrement brut.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|exsectus
LS|exsectus|exsectus|a, um||||exsectus|(
GG|exsectus|exsectus|a, um||part.|part. de exseco.|exsectus|
GJ|exsectus|exsectus|a, um|part. passé de exseco. - 1 - coupé. - 2 - retiré par incision. - 3 - privé de la virilité, châtré, eunuque. - 4 - dépouillé de, arraché à, privé de.
Ge|
FG|exsectus|exsectus a um, participe de exseco.
Lw|exsectus|exsectus||||P. of exseco||||exsectus
YO|
PO|
WW||||
-|exsecutus
LS|exsecutus|exsĕcūtus|a, um||||exsecutus|as 
GG|exsecutus|exsĕcūtus|a, um||part.|plus explicite|exsecutus|
GJ|exsecutus|exsĕcūtus|a, um|part. passé de exsequor. - 1 - qui a suivi. - 2 - qui a traité un sujet. - 3 - sens passif exécuté.
Ge|
FG|exsecutus|exsecutus a um, participe de exsequor.
Lw|exsecutus|exsecūtus||||P. of exsequor||||exsecutus
YO|
PO|
WW||||
->exico|exsico
LS|exsico|exsĭco|āre||||exsico|(
GG|exsico|exsico||||c. exseco.|exsico|
GJ|exsico|exsico||c. exseco.
Ge|
FG|
Lw|
YO|
PO|
WW|||exsico, exsicui|exsico, exsictum
->exoletus|exsoletus
LS|
GG|exsoletus|exsolētus||||v. exoletus.|exsoletus|
GJ|exsoletus|exsolētus||c. exoletus.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|exspersus
LS|exspersus|exspersus|a, um||||exspersus|(
GG|
GJ|exspersus|exspersus|a, um|part. passé de exspergo; arrosé, inondé.
Ge|
FG|
Lw|exspersus|exspersus||||sprinkled, splashed||||exspersus
YO|
PO|
WW||||
-|exstructus
LS|exstructus|exstructus|a, um||P. a.||exstructus|(
GG|exstructus|exstructus|a, um|||élevé, accumulé, construit, bâti|exstructus|
GJ|exstructus|exstructus|a, um|part. passé de exstruo.
Ge|exstructus|exstrūctus|a, um, PAdi.|hochgebaut
FG|exstructus|exstructus a um, participe de exstruo ; adjectif, élevé, accumulé, construit, bâti.
Lw|
YO|
PO|
WW||||
->illabefactus|inlabefactus
